Start,End,Excerpt Copy,Codes Applied Combined,Math artefact 1,Math artefact 2,Math artefact 3,Math artefact 4,Meta Label
26884,26905,(by Menger’s theorem),reference to other maths,,,,,egbotdont
26757,27280,"Let G be the quotient graph of the n-cube by the equivalence relation that identifies vertices with the same partial sum. Then (by Menger’s theorem) it is enough to find n vertex independent paths from 0^n to 1^n in G (not in the n-cube !).

This has the advantage getting rid of the M, as Mohammad said.

Moreover, the quotient is not arbitrary. For example, the fact that all a_i are distinct and positive says that no two different edges in the quotient will share the same source and target, and there will be no loops.",graph approach,,,,,egbotdont
27044,27061,as Mohammad said.,"by content, by name",,,,,egbotdont
27355,27359, #27,by number,,,,,egbotdont
27361,27368,@gowers,by name,,,,,egbotdont
27371,27451,"one possible forbidden set is a set of n-1 consecutive integers {b+1, …, b+n-1}.",relevant entity,,,,,egbotdo
27452,27849,"In this case we must arrange to land exactly on b, then use a_n = n to jump over the landmines. Of course this specific task is easy to accomplish; but to me it points out that purely local methods of selecting the next step length are unlikely to work (how do I know, just looking at the safe territory around me at the start, that I must eventually arrive at b with the n-step still available?).",meta-level comment about proof,,,,,egbotdont
27705,27848,"(how do I know, just looking at the safe territory around me at the start, that I must eventually arrive at b with the n-step still available?)",explanation,,,,,egbotdont
27906,27953,What are the steps the grasshopper can land on?,,,,,,egbotdont
27954,28038,"Obviously, any value that’s of the form \sum_{i=1}^{n} s_i*a_i where s_i \in {0,1}. ",class of supporting examples,,,,,egbotdo
28786,29100,"An example of a point having multiple labels might be if a_1 = a_2 + a_3, in which case, a single point will have labels (1,0,0,…) and (0,1,1,…). A slightly more complicated example might be to also have a_4 = a_5 + a_6 in which case labels 100100, 100011, 011100, and 011011 would all be shared by a single point.",relevant entity,,,,,egbotdo
28220,28538,"Any value in M that is not a possible step the grasshopper can take isn’t interesting; we can reduce the problem to an (n-1) instance by finding a step that can be taken (since there’s n distinct first steps, n-1 forbidden this is possible), and looking at the remaining (n-1) possible steps and (n-2) forbidden steps.",we can reduce the problem to...,,,,,egbotdont
28540,28784,"Iterating on that, we can thus reduce the problem to n’ and M’ where the grasshopper can reach every point in M’, and we can thus label every point in M’ according to the corresponding s_i digits (noting some points might have multiple labels).",we can reduce the problem to...,,,,,egbotdont
30268,30334,does anybody see the role of the assumption that a_i are integers?,"question, are they necessary?",,,,,egbotdont
29161,29185,In response to 48 (JSE) ,"by name, by number",,,,,egbotdont
29186,29205,nd 50 (Greg Martin),"by name, by number",,,,,egbotdont
29207,29369,"a similar point to Greg’s is that using random methods to find a solution algorithmically doesn’t seem as though it will work, since sometimes the move is forced.",meta-level comment about proof,,,,,egbotdont
29334,29368,since sometimes the move is forced,explanation,,,,,egbotdont
29371,29812,"Going back to the approach of trying to find k such that you can get past k-1 landmines with k steps (without worrying about whether you land on one except at the final point), and then jump over at least two landmines, and then finish by induction, one obvious necessary condition for this approach to have a chance is that if a_n is the biggest step size, then there should somewhere be two landmines that have a distance of at most a_n-2.",induction,,,,,egbotdont
29813,29862,Is there an easy argument if this doesn’t happen?,question,,,,,egbotdont
29891,29913,Another small thought.,introducing your comment,,,,,egbotdont
29914,30095,"Suppose that a_1\ne 1. Then we can subtract 1 from every step size, and get some new step sizes b_i-1. And the kth partial sum of the b_i is the kth partial sum of the a_i, minus k.",hypothesized case to explore conjecture/proof attempt,,,,,egbotdont
30096,30208,"Hmm … I thought I was going to be able to say something useful there, but it doesn’t seem to be getting anywhere",informal,,,,,egbotdont
29481,29489,worrying,emotion or value words,,,,,egbotdont
30400,30507,"If the gap between every pair of land mines is greater than a_{n}-2, then

a_1+a_2+…+a_n >= (n-1) (a_{n}-1)",sub-conjecture,,,,,egbotdont
30509,30587,That ought to be inconsistent with the idea that a_n is the largest of the a_i,here's something that should be wrong,,,,,egbotdont
30589,30653,(Although the boundary behavior isn’t quite working out for me.),informal,,,,,egbotdont
30719,30779,The problem should become easier if the a_i aren’t integers.,"by content, no",,,,,egbotdont
30780,31116,"It looks like the only thing that matters about the a_i is which equalities of the form \sum a_{i_r} = \sum a_{j_s} hold. If some such system of inequalities has a solution in the real numbers, it will have a solution in the integers as well. (It has a solution in the rationals by basic linear algebra; rescale to remove denominators.)",explanation,,,,,egbotdont
31173,31202,A somewhat offtopic question:,introducing your comment,,,,,egbotdont
31203,31223,Is this a P problem?,question,,,,,egbotdont
31287,31305,I’m asking myself:,introducing your comment,,,,,egbotdont
31309,31367,what happens bringing the first jump to the last position?,question,,,,,egbotdont
31368,31423,(i.e. by considering a cyclic permutation of the jumps),what I mean is...,,,,,egbotdont
31424,31463,Are there any invariant jump endpoints?,question,,,,,egbotdont
31467,31550,is there a way to work with congruences modulus (n-1) and the pigeonhole principle?,question,,,,,egbotdont
31609,31683,In this comment I try to restate the problem using the term ‘hitting set’.,introducing your comment,,,,,egbotdont
31685,31740,"For a given ‘a’ sequence, there are N! possible paths. ",sub-conjecture,,,,,egbotdont
31740,31824,"For each path i, define x_i as the set of the N-1 relevant partial sums of the path.",concept,,,,,egbotdont
31825,31873,Define X as the set of all of these N! x_i sets.,concept,,,,,egbotdont
31685,32019,"For a given ‘a’ sequence, there are N! possible paths. For each path i, define x_i as the set of the N-1 relevant partial sums of the path. Define X as the set of all of these N! x_i sets. Now we know that the set {a} of size N (the set of elements in the sequence ‘a’) is a hitting set of X. Prove that this is a minimum hitting set.",we can reduce the problem to...,,,,,egbotdont
32938,32951,It seems like,humble,,,,,egbotdont
32303,32490,"(For example, if A={2,3,5,7} then m_i=7 has labels 1010 and 0001, which is always 0 in the second position — ie as soon as you’ve taken a step of size 3, you can’t hit the landmine at 7).",,,,,,egbotdont
32303,32490,"(For example, if A={2,3,5,7} then m_i=7 has labels 1010 and 0001, which is always 0 in the second position — ie as soon as you’ve taken a step of size 3, you can’t hit the landmine at 7).","supporting a subconjecture, explanation",,,,,egbotdont
32079,32302,"If you look at each m_i \in M, and the label(s) assigned to it, you might find one that only has the value 0 in one particular position, say x; in that case, if you can take a step of size $a_x$ you’ve reduced your problem.",we can reduce the problem to...,,,,,egbotdont
32492,32637,"Similarly, if you find an m_i that only has the value 1 at a particular position in all its labels, and can defer that step to last, you’re safe.",we can reduce the problem to...,,,,,egbotdont
32638,32936,"(Same example, m_i=12 has labels 0011 and 1101, which have a 1 in the last position — so if you can do steps 2, 3 and 5 in whatever order saving 7 to last, you’ll not hit 12, and finding a way to avoid M-\{m_i\} mines with n-1 steps is an easier instance of the problem — as long as 2+3+5 \notin M)","explanation, supporting a subconjecture",,,,,egbotdont
32952,33103,"there might be some way to say that amongst all the initial steps you can make (ie, all the a_i \notin M) one of the members of M will match the above.",case split,,,,,egbotdont
33579,33884,"That seems like it might be amenable to a proof by contradiction: suppose for every a_i either a_i is in M, or every element of M has a label where the ith bit is set. Then something bad happens, right? Ending up with two different points sharing a label would work, or having more than 2^n labels, maybe.",RAA,,,,,egbotdont
33105,33136,Maybe some notation would help:,introducing your comment,,,,,egbotdont
33138,33577,"f A is your set of possible steps, then say S(A) is the set of all possible positions you can end up on the way. So eg, if A={2,3,5}, S(A)={0,2,3,5,7,8,10}. Then the above is saying that for some a_i \in A where a_i \notin M, there is an m_j \in M where m_j \notin S(A-\{a_i\}) — in which case you can reduce the problem to A'=A-\{a_i\}, and m’ in M’ iff m'+a_i \in M-\{m_j\}, and since S(A') \notin M' we have an instance of the n-1 case.",introducing notation,,,,,egbotdont
33251,33577,"So eg, if A={2,3,5}, S(A)={0,2,3,5,7,8,10}. Then the above is saying that for some a_i \in A where a_i \notin M, there is an m_j \in M where m_j \notin S(A-\{a_i\}) — in which case you can reduce the problem to A'=A-\{a_i\}, and m’ in M’ iff m'+a_i \in M-\{m_j\}, and since S(A') \notin M' we have an instance of the n-1 case.",hypothesized case to explore conjecture/proof attempt,,,,,egbotdont
33948,33967,Another small case.,introducing your comment,,,,,egbotdont
33967,34838," Let’s take a_i=i for i=1,2,3,4. So we’re trying to get to 10 in steps of 1,2,3,4 and there are three landmines.

If there’s a landmine on any of 1,2,3,4, then by 47 (@liuxiaochuan) they must be on 4, or 4 and 3, or 4 and 3 and 2. In the third case we can go to 1 and then to 5, and then we’re done by induction (two steps and zero obstacles, so perhaps induction was a bit of a sledgehammer). If there are obstacles on 4 and 3, then induction is more appropriate — we can either get to 5 in two steps and are then done, or there’s an obstacle at 5, in which case we can go 2,6,7,10. If there’s just an obstacle at 4, things get harder, since then we need to know what goes on after 4. But then we can cheat and say that at least one number between 6 and 9 is an obstacle so we can run things in reverse. The only case not covered is then when the obstacles are at 4,5,6.",hypothesized case to explore conjecture/proof attempt,,,,,egbotdont
34127,34148,by 47 (@liuxiaochuan),"by name, by number, induction for a specific example",,,,,egbotdo
34279,34308,(two steps and zero obstacles,explanation,,,,,egbotdont
34313,34358,perhaps induction was a bit of a sledgehammer,meta-level comment about proof,,,,,egbotdont
34346,34358,sledgehammer,"metaphor, informal",,,,,egbotdont
34361,34430,"If there are obstacles on 4 and 3, then induction is more appropriate",meta comment about the process,,,,,egbotdont
34433,34550,"we can either get to 5 in two steps and are then done, or there’s an obstacle at 5, in which case we can go 2,6,7,10.",explanation,,,,,egbotdont
34604,34653,since then we need to know what goes on after 4. ,explanation,,,,,egbotdont
34653,34674,But then we can cheat,informal,,,,,egbotdont
34840,34999,"That was still a rather ugly case-by-case argument, but it serves to confirm a sense that the difficult case is when the obstacles are not near the end points.",meta-level comment about proof,,,,,egbotdont
34864,34868,ugly,emotion or value words,,,,,egbotdont
35001,35063,I’d like to try to find an argument along the following lines.,introducing your comment,,,,,egbotdont
35063,35855," Order the step sizes as a_1<\dots<a_n. Now let's try two paths. The first is where you take the steps in increasing order of size, and the second is where you take it in decreasing order. Now look at where you are half way through this process. Suppose that in the first case you have passed well under half the obstacles and in the second case you've passed well over half. Then it should be possible to move from one extreme to the other and find a permutation where you've passed more or less exactly half. (Actually, of course, the hypothesis here doesn't have to hold, but this is just meant to give the flavour of some kind of argument.) And then there might be a hope of … hmm … I'm still trying to find that elusive jump over two obstacles that takes place at exactly the right time.",proof strategy,,,,,egbotdont
35734,35739,hope ,emotion or value words,,,,,egbotdont
35741,35750, … hmm … ,informal,,,,,egbotdont
35780,35787,elusive,emotion or value words,,,,,egbotdont
35857,35869,Subquestion.,introducing your comment,,,,,egbotdont
35870,36016,"If a_i=i and you have n-1 consecutive obstacles, what's the neatest proof that you must be able to get to the last non-obstacle without using a_n?",question,,,,,egbotdont
36017,36127,"(I don't think it's hard to prove it, but it would be good to have something that had a hope of generalizing.)",meta comment about the process,,,,,egbotdont
36105,36109,hope,emotion or value words,,,,,egbotdont
36188,36194,Re 54.,by number,,,,,egbotdont
36274,36566,"Just let all the a_n be very large and roughly equal to a. Then the sum is approximately equal to na, so if we start near 0 and end near na, then we can get gaps of size about na/(n-1), which is bigger than a_n. So my proposal runs into difficulty. Not sure how big a difficulty it is though.",,,,,,egbotdont
36195,36566,"Your analysis shows that it is possible for the gaps all to be at least a_n-1. Just let all the a_n be very large and roughly equal to a. Then the sum is approximately equal to na, so if we start near 0 and end near na, then we can get gaps of size about na/(n-1), which is bigger than a_n. So my proposal runs into difficulty. Not sure how big a difficulty it is though.",proof of sub-conjecture,,,,,egbotdont
36298,36326,very large and roughly equal,informal,,,,,egbotdont
36486,36522,So my proposal runs into difficulty.,meta-level comment about proof,,,,,egbotdont
36523,36566,Not sure how big a difficulty it is though.,"meta-level comment about proof, informal",,,,,egbotdont
36627,36683,"Another thought, which could possibly be worth pursuing.",introducing your comment,,,,,egbotdont
36684,36768,Suppose you have n obstacles. Then of course it is possible to stop the grasshopper.,sub-conjecture,,,,,egbotdont
36769,36929,But perhaps it is sufficiently difficult to stop the grasshopper that it is possible to say quite a lot about the step sizes and the positions of the obstacles.,meta-level comment about proof,,,,,egbotdont
36683,37343," Suppose you have n obstacles. Then of course it is possible to stop the grasshopper. But perhaps it is sufficiently difficult to stop the grasshopper that it is possible to say quite a lot about the step sizes and the positions of the obstacles. If so, then it might just be possible to do an induction by finding a partial sum of k steps that doesn’t land on an obstacle and passes exactly k-1 obstacles. (The idea would be that if you can’t get past the remaining n-k obstacles in the remaining n-k steps, then something pretty strong happens and you can use a different argument.) This is a very preliminary attempt to find a stronger inductive hypothesis.",induction,,,,,egbotdont
37411,37608,"It might be useful to see whether the solution is unique or not. This can be done by answering the following question – given a sequence of hops that avoids all landmines, can we construct another?","meta-level comment about proof, here's a stronger version",,,,,egbotdont
37531,37608,"given a sequence of hops that avoids all landmines, can we construct another?",question,,,,,egbotdont
37616,37649,we can try using Gowers’ approach,"by content, by name",,,,,egbotdont
37616,37792,"we can try using Gowers’ approach of skipping k-1 landmines in k hops on the specific case where a_i = i. Since this case looks like a difficult one, it might give new insight.",hypothesized case to explore conjecture/proof attempt,,,,,egbotdont
37722,37792,"Since this case looks like a difficult one, it might give new insight.",justification,,,,,egbotdont
37851,37914,Re 65: Is it ever true that multiple paths avoid all landmines?,"by content, by number",,,,,egbotdont
37914,38014," Yes, because technically I think none of the landmines even need to be less than sum(a_1, …, a_N). ",sub-conjecture,,,,,egbotdont
38014,38072,Is it always true that multiple paths avoid all landmines?,rhetorical,,,,,egbotdont
38077,38106,"consider a = {1, 2}, M = {1}.",an existence case,,,,,egbotdo
38167,38195,Following again on Tim’s 27:,"by name, by number",,,,,egbotdont
38195,38214," loosely speaking, ",informal,,,,,egbotdont
38343,38511,"An equality between m and a sum of about half the a_i’s (or for that matter any proportion greater than 0) is going to kill off only on order of c^{-n} n! paths, right?","sub-conjecture, rhetorical",,,,,egbotdont
38739,38819,"if all the paths are blocked, then some, or many mines must be sums of FEW a_i’s",sub-conjecture,,,,,egbotdont
38823,38859, “cofew” sums of all but a few a_i’s,concept,,,,,egbotdont
38681,38738,I suppose what I’m groping for is some way to claim that ,humble,,,,,egbotdont
38605,38679, And surely having this many identities is a serious condition on the a_i?,question,,,,,egbotdont
38167,38861,"Following again on Tim’s 27: loosely speaking, it seems that for a landmine m to kill off a lot of paths effectively, you want m to be equal to a lot of _short_ sums of a_i’s. An equality between m and a sum of about half the a_i’s (or for that matter any proportion greater than 0) is going to kill off only on order of c^{-n} n! paths, right? So you’d need exponentially many of these identities to impede the grasshopper substantially. And surely having this many identities is a serious condition on the a_i?

I suppose what I’m groping for is some way to claim that “if all the paths are blocked, then some, or many mines must be sums of FEW a_i’s (or “cofew” sums of all but a few a_i’s).",proof,,,,,egbotdont
38926,39003,What’s the largest fraction of all paths that any single point can belong to?,question,,,,,egbotdont
39004,39313,"Here’s some data in the case where n=5 and a_i=i. The total number of paths is 120. This is how many paths each point from 1 to 14 is in. (I may make mistakes here.)

1 24 (equals 4!)
2 24
3 2×3!+4!=36
4 2×3!+4!=36
5 4×3!+4!=42
6 6×2!+4×3!=36
7 6×2!+4×3!=36

and by symmetry the rest are 36,36,42,36,36,24,24.",simple case supporting subconjecture,,,,,egbotdo
39142,39169,(I may make mistakes here.),I might be wrong,,,,,egbotdont
39315,39606,"This proves that it is possible for a single point to knock out more than (n-1)! of the paths, which isn’t all that surprising of course, but it suggests that counting arguments would be difficult as they’d have to demonstrate that the sets of paths knocked out had to overlap substantially.",saying why what you've just said is interesting,,,,,egbotdont
39664,39667,"Ah,",informal,,,,,egbotdont
39752,39778,landmines of “medium size”,concept,,,,,egbotdont
39670,39838, it does seem in this case (where the a_i are in arithmetic progression) that the landmines of “medium size” are capable of killing a substantial fraction of the paths.,"here's a weaker version, class of supporting examples for subconj",,,,,egbotdo
39708,39741,a_i are in arithmetic progression,concept,,,,,egbotdont
39839,40020,"It would be great if someone ran this computation for a somewhat larger n, where (I think) the sums of size about n^2/4 would be more strongly dominated by sums of length about n/2.",request for help,,,,,egbotdont
40105,40579,"Here’s the numbers for n=10:

{362880, 362880, 443520, 443520, 524160, 554400, 635040, 665280, \
776160, 823680, 571680, 568800, 616320, 600480, 662400, 633600, \
665280, 650880, 666720, 619200, 635040, 637920, 633600, 649440, \
648000, 632160, 646560, 646560, 632160, 648000, 649440, 633600, \
637920, 635040, 619200, 666720, 650880, 665280, 633600, 662400, \
600480, 616320, 568800, 571680, 823680, 776160, 665280, 635040, \
554400, 524160, 443520, 443520, 362880, 362880}",hypothesized case to explore conjecture/proof attempt,,,,,egbotdont
40086,40104,Easy enough to do.,,,,,,egbotdont
40581,40648,"By the way, Tim Gowers’ numbers above have a typo: 42 should be 48.",here is a mistake in your reasoning,,,,,egbotdont
464,673,"I’d just like to chip in here and say that solving an already solved problem in an open collaborative way is a great idea, as it is basically guaranteed to give us useful data about how such projects can work.",meta comment about the process,,,,,egbotdont
40725,40885,"Here’s a visual plot of the data for n=20. It looks like it’s flat between (1/4)*(sum_{i=1}^n i) and (3/4)*(sum_{i=1}^n i), and then very erratic outside there.",supporting example,,,,,egbotdo
40886,40932,I have no idea why that should be — any ideas?,"question, why is this as it is?",,,,,egbotdont
40934,41045,"By the way, I suspect that this kind of analysis is not the most efficient route to solving an Olympiad problem",meta-level comment about proof,,,,,egbotdont
41047,41113,"But I’m not doing Olympiads anymore, so I don’t mind having fun.
",informal,,,,,egbotdont
41171,41219,In the same line of thought of previous comments,introducing your comment,,,,,egbotdont
41220,41351,for the case a_i=i maybe one can calculate the i which maximize the numbers of paths killed (expressed in function of n of course) ,relevant entity,,,,,egbotdo
41352,41382," is this possible, easy to do?",question,,,,,egbotdont
41239,41350,maybe one can calculate the i which maximize the numbers of paths killed (expressed in function of n of course),goals,,,,,egbotdont
41383,41491,This could be used in a rough estimate calculation on the maximum number of paths killed by (n-1) landmines.,justification,,,,,egbotdont
41556,41781,"Here’s n=40. I’ve changed to displaying the data as fraction of walks blocked, rather than absolute number of walks blocked. Looks like about it’s constant at 2/n for i between (1/4)*(sum_{i=1}^n i) and (3/4)*(sum_{i=1}^n i).",arbitrary case,,,,,egbotdo
41843,41935,"I may be overlapping with something that has already been suggested (and perhaps ruled out),",humble,,,,,egbotdont
41940,43312,"what about trying to prove, by induction on the length of the path, that some path of a given length exists (concluding that there is a path of length n). For instance, it is clear that there is a path of length 1, since at most n-1 of points a_n can be blocked off.

It is possible for there to be paths of length 1 which have no extension to a path of length 2 (say, a_1 isn’t in M, but a_1+a_i belongs to M for each i>1). But we can construct a path of length 2 as follows: let a_j be largest element such that a_j is not in M. Suppose there is no extension of a_j to a path of length 2 (i.e., a_i+a_j is in M for each i other than j). Consider two cases; if there is some n<a_j in M, we can consider the n-1 remaining jumps and at most n-2 points remaining in M, resolving the problem inductively. Otherwise, there is no n<a_j in M; now, let a_1 be the smallest element other than a_j. Since it cannot be that a_1=a_j+a_k for any k, it follows that a_i is not in M (all the elements of M are accounted for as being of the form a_j+a_k). Let a_2 be the smallest element which is neither a_1 nor a_j; then a_1+a_2 can't have the form a_j+a_k for any k: it can't be either a_j+a_1 or a_j+a_2, and since a_1<a_j, a_1+a_2<a_j+a_k when a_k is anything else. So (a_1,a_1+a_2) is a path of length 2.

But this arguments suggests extending to paths of length 3 might be tricky.",induction,,,,,egbotdont
43379,43493,it seems than the position X=n is the place which maximize the number of paths killed in the case we are studying.,sub-conjecture,,,,,egbotdont
43559,43689,Maybe it’s slightly useful also to mention any superficially plausible looking approaches that might turn out *not* to be helpful.,informal,,,,,egbotdont
43704,44104,"when seeing a sum like s my first instinct is to telescope it by expressing the terms as differences, b1 – b2, b2 – b3, etc.

But the fact that any permutation of the a_i may be involved means that cancellation will be patchy, which is discouraging. However, any landing point will be the difference of two sums each involving at most ~ n/2 terms, and typically far fewer, which might be exploitable.",re-representation,,,,,egbotdont
43954,44104,"However, any landing point will be the difference of two sums each involving at most ~ n/2 terms, and typically far fewer, which might be exploitable.",saying why what you've just said is interesting,,,,,egbotdont
43305,43312,tricky.,emotion or value words,,,,,egbotdont
43940,43952,discouraging,emotion or value words,,,,,egbotdont
44195,44206,pessimistic,emotion or value words,,,,,egbotdont
44173,44728,"My data makes me very pessimistic about a counting approach. It looks like we can create a situation where almost any landmine knocks about (2/n)*n! paths. If we could make these knock outs miss each other, we’d have enough to kill every path twice.

That doesn’t mean that I believe the problem to be false. If the knockouts are independent, I expect n!*(1-2/n)^n paths to survive, which is roughly n!/e^2. But this does suggest to me that we would have to do a somewhat sophisticated analysis of independence to make the argument work, which seems hard.",meta-level comment about proof,,,,,egbotdont
45015,45204,if you choose a random set of n landmines (let’s say in the “stable range” between (1/4)sum and (3/4)sum) the proportion of acceptable walks is actually converging to something less than 1.,sub-conjecture,,,,,egbotdont
45206,45701,"Presumably there’s some straightforward argument for 2/n; you could imagine making a similar argument for a k-tuple of landmines, all in the “stable range”, showing that the proportion of walks containing _both_ landmines coverges to some simple f(n,k) which doesn’t depend on the location of the mines. Then you could imagine estimating the PIE (but of course this would depend on estimates which allowed k to be large enough, relative to n, to make the unestimated terms nicely bounded above.)",proof,,,,,egbotdont
44789,44989,"So you can imagine, e.g., trying to show that this is “as bad as it gets” and getting an argument in this direction that you can always avoid ~n/2 landmines (or is this obvious for some other reason?)",proof,,,,,egbotdont
44950,44988,is this obvious for some other reason?,question,,,,,egbotdont
45766,45770,"Hmm,",informal,,,,,egbotdont
45771,45798,I confirm KK’s observation.,by name,,,,,egbotdont
45799,45911,"For all values of n between 5 and 30, the maximum occurs at n. (And at the symmetrically located \binom{n}{2}.) ",class of supporting examples for subconj,,,,,egbotdo
45911,45948,"KK, do you have an intuition for why?",question,,,,,egbotdont
46010,46136,"(I tried to post a somewhat longer piece, but I’m not sure if it’s being held up or just didn’t go through. [The former - T.])",meta-level issues,,,,,egbotdont
46137,46247,"What about holding the a_i and M fixed, and proving by induction that a path of length k exists for each k<=n?",question,,,,,egbotdont
46137,46405,"What about holding the a_i and M fixed, and proving by induction that a path of length k exists for each k<=n? That is, first show (trivially) that some a_i is not in M. Then show that there is an a_i and an a_j so that neither a_i nor a_i+a_j belongs to M, and so on.",induction,,,,,egbotdont
46468,46476,I agree.,informal,,,,,egbotdont
46477,46496,I feel pessimistic ,emotion or value words,,,,,egbotdont
46477,46593,"I feel pessimistic about counting arguments, so my thoughts are mainly focused on trying to find a clever induction.",proof strategy,,,,,egbotdont
46595,46806,"But it might be quite interesting to see whether we can prove that n/2 or so obstacles are not enough, by arguing that not enough obstacles can block substantially more than a fraction 2/n of all possible paths.",sub-conjecture,,,,,egbotdont
47686,47689,:-),informal,,,,,egbotdont
47625,47746,"Maybe too trivial, but it’s very late here (classical excuse :-) ) and the point of view might help someone nevertheless.",humble,,,,,egbotdont
46872,47623,"What if we consider the partial sums as follows:
A1={a1, a2, …, an} (the initial set)
A2={a1+a2, a1+a3, a1+a4, …, a1+an, a2+a3, ..,a2+an, …, an-1+an}
A3={a1+a2+a3, a1+a2+a4, …}
…
An={a1+a2+…+an}

The path of the grasshopper can be realised by picking for each step i an element from Ai which contains the element chosen at the previous step.
Ex. If we choose a1 at step 1, we’ll have to choose an a1+x from A2 for step 2, etc.

Then we have:
A1-M= set of elements eligible for step 1
A2-M= set of elements eligible for step 2
…
An-M= set of elements eligible for step n

Also, we are sure that An-M is non-empty from the hypothesis (as is A1-M).
Starting from these, we only need to prove, perhaps using some set elements, that all Ai-M are non empty.",hypothesized case to explore conjecture/proof attempt,,,,,egbotdont
47808,47858,Following up on the suggestion Cristina and I made,"introducing your comment, by name",,,,,egbotdont
48423,48484,Can this sort of reasoning extend to give a path of length 3?,question,,,,,egbotdont
47860,48421,"Since there are only n-1 points in M, there must be some a_i not in M. Now we wish to find a path of length 2; let a_L be the largest a_i not in M, and suppose it cannot be extended to a path of length 2. Then a_1 (assuming a_1 is the smallest a_i other than a_L) cannot be in M: if it were, it would have to be a_L+a_j for some j, which is impossible since a_1<=a_j. So a_1<a_L. Now let a_P be either a_2 (if L!=2) or a_3 (if L=2); then a_1+a_2P, and a_1+a_2 can’t be equal to either a_1+a_P or a_2+a_P. Therefore a_1+a_2 is not in M, so a_1,a_1+a_2 is a path.",suggested base case,,,,,egbotdont
48553,48573,I don’t understand. ,informal,,,,,egbotdont
48573,48697,"What if (a_1, a_2, a_3) = (1,2,3) and M = (4,5). Then the largest a_i not in M is 3, but the path 0 –> 3 cannot be extended.",to a local conjecture,,,,,egbotdo
48758,49034,"How about proof by contradiction?
Let for every n and every path, there is one point (partial sum of a_i’s, say a_1+a_2…+a_k) that intersects with a value in M. Then, can we break this down to two sub-problems of size k and n-k, and use the contradiction argument recursively?",RAA,,,,,egbotdont
49097,49166,I agree with Cristina(76) that this sort of approach might be useful.,by name,,,,,egbotdont
49669,49771,Then the question becomes: is there always a path/sum pair that will satisfy our while loop condition?,translate the conjecture,,,,,egbotdont
49167,50192,"I had a somewhat algorithmic twist on it; consider the following algorithm that picks points arbitrarily, and at each step checks to see if sum = a_i + a_j + a_k … is in M. If the grasshopper at any point finds itself unable to hop forward, it simply hops backwards to its previous point (which, because we are working iteratively is assumed to be safe). Of course it might find itself backtracking the whole path, but since we’re not actually trying to construct an efficient algorithm this is fine.

Then the question becomes: is there always a path/sum pair that will satisfy our while loop condition? This is trivial for the first step (since there must be at least one a_i that is not covered by a landmine), but for the second step we could imagine that for a fixed a_i the landmines cover all possible n-1 next steps. In this case, however, we backtrack, fix another a_j, and then can proceed completely (well, almost completely, since we can’t discount the case where a_j + a_k = a_i for some k) safely to the finish.",constructive,,,,,egbotdont
50194,50318,So I guess I also agree with many of the other commenters that looking at the partial sums must be at least somewhat useful.,proof strategy,,,,,egbotdont
50387,50435,I haven’t had a chance to digest all of this yet,humble,,,,,egbotdont
50437,50524,"but qualitatively, ignoring counting arguments, and focussing on a potential induction:",introducing your comment,,,,,egbotdont
50526,51214,"If grasshopper can jump from either end over one or more “landmines” I have an induction.

If not, I have a concentration of landmines in the middle.

It should then be possible to find an interval in the middle of length Am which contains a ‘large enough’ number of landmines that I can use an inductive hypothesis on each end. I “just” need that interval to allow a partition of the Am which works for each end.

Now I can either try to find that interval in the middle containing lots of landmines directly, or I can try to progress as far as possible from either end, in which case I am aiming to increase the central density so that I can include lots of landmines in a single leap.","induction, case split",,,,,egbotdont
51215,51224,Question:,introducing your comment,,,,,egbotdont
51299,51377,"The induction above requires it, but is there a deeper way of using this fact?",question,,,,,egbotdont
51447,51479,In Re Tim Gower’s comment at 63:,"by number, by content",,,,,egbotdont
51487,51519,thank for pointing out my error.,you're right,,,,,egbotdont
51529,51648,"hat case shouldn’t be too hard, as the k-term sums for different values of k should largely fall in distinct intervals.",sub-conjecture,,,,,egbotdont
51650,51961,"For example, here is the case where n=20, and the a_i are 101, 102, 103, …, 120. Notice that, we tend to be getting significantly fewer than 1/n knockouts. It might be nice to prove that 1,2,…,n really does optimize the proportion of k element subsets which is knocked out — and compute the shape of that curve!",simple case supporting subconjecture,,,,,egbotdo
